,Name,Specialization,Highest degree,Experience,Fee,Wait_time,Number of Patients,Satisfaction_level,Location
559,Dr. Humaira Mohsin Khan,Gynecologist,MBBS,10.0,1000.0,Under 15 Min,10.0,100,Karachi
560,Assoc. Prof. Aliya Waheed,Gynecologist,MBBS,18.0,1200.0,Under 15 Min,75.0,99,Karachi
561,Dr. Shaheen Iftikhar,Gynecologist,MBBS,19.0,500.0,Under 15 Min,199.0,98,Karachi
562,Dr. Shabnam Shamim Asim,Gynecologist,MBBS,32.0,3000.0,15 - 30 Min,99.0,99,Karachi
563,Dr. Nayyer Shaheen,Gynecologist,MBBS,36.0,1000.0,Under 15 Min,581.0,98,Karachi
564,Dr. Iffat Rizwana,Gynecologist,MBBS,42.0,1500.0,15 - 30 Min,7.0,100,Karachi
565,Dr. Ambreen Bhutto,Gynecologist,MBBS,18.0,3000.0,Under 15 Min,37.0,100,Karachi
566,Dr. Nuzhat S,Gynecologist,MBBS,30.0,1500.0,Under 15 Min,61.0,98,Karachi
567,Dr. Abida Kanwal,Gynecologist,MBBS,13.0,1000.0,Under 15 Min,9.0,100,Karachi
568,Dr. Farah Naz Raza,Gynecologist,MBBS,28.0,3000.0,15 - 30 Min,16.0,100,Karachi
569,Brig. (R) Dr. Azra Shamsi,Gynecologist,MBBS,31.0,1000.0,15 - 30 Min,28.0,100,Karachi
570,Dr. Rabail Qureshi,Gynecologist,MBBS,18.0,2000.0,Under 15 Min,200.0,100,Karachi
571,Dr. Nisha Tabassum,Gynecologist,MBBS,11.0,1000.0,Under 15 Min,62.0,100,Karachi
572,Dr. Erum Memon,Gynecologist,MBBS,15.0,1000.0,Under 15 Min,281.0,98,Karachi
573,Dr. Feroza Masroor,Gynecologist,MBBS,19.0,1000.0,15 - 30 Min,48.0,95,Karachi
574,Dr. Monica,Gynecologist,MBBS,10.0,2000.0,Under 15 Min,310.0,96,Karachi
575,Dr. Khadija Shahzad,Gynecologist,MBBS,9.0,1000.0,Under 15 Min,6.0,100,Karachi
576,Dr. Summera Saud,Gynecologist,MBBS,14.0,1000.0,15 - 30 Min,2.0,100,Karachi
577,Dr. Huma Baloch,Gynecologist,MBBS,10.0,500.0,15 - 30 Min,233.0,95,Karachi
578,Dr. Shagufta Vilayat,Gynecologist,MBBS,36.0,500.0,15 - 30 Min,82.0,99,Karachi
579,Dr. Ambreen Aftab,Gynecologist,MBBS,23.0,700.0,15 - 30 Min,240.0,97,Karachi
580,Dr. Huda Akram,Gynecologist,MBBS,12.0,400.0,Under 15 Min,10.0,100,Karachi
581,Dr. Aqeela Kausar,Gynecologist,MBBS,10.0,500.0,Under 15 Min,57.0,96,Karachi
582,Dr. Khadija Bano,Gynecologist,MBBS,17.0,2200.0,15 - 30 Min,173.0,97,Karachi
583,Dr. Neelofer Nighat,Gynecologist,MBBS,27.0,1500.0,15 - 30 Min,220.0,99,Karachi
584,Assoc. Prof. Dr. Zakia Bano,Gynecologist,MBBS,10.0,2000.0,15 - 30 Min,630.0,96,Karachi
585,Dr. Farah Shabi-ul-Hasnian,Gynecologist,MBBS,15.0,1250.0,15 - 30 Min,244.0,99,Karachi
586,Dr. Fauzia Shafiq,Gynecologist,MBBS,15.0,1500.0,15 - 30 Min,334.0,99,Karachi
587,Dr. Hafsa Shezad,Gynecologist,MBBS,16.0,1500.0,Under 15 Min,291.0,99,Karachi
588,Dr. Kanta Kumari,Gynecologist,MBBS,27.0,1000.0,15 - 30 Min,311.0,100,Karachi
589,Dr. Pinkey Kumari,Gynecologist,MBBS,17.0,1000.0,Under 15 Min,2.0,100,Karachi
590,Dr. Mabel Zaki,Gynecologist,MBBS,41.0,2500.0,Under 15 Min,56.0,92,Karachi
591,Dr. Shanza Agha,Gynecologist,MBBS,41.0,1000.0,15 - 30 Min,596.0,92,Karachi
592,Dr. Mala Jitendra Shahani,Gynecologist,MBBS,12.0,2000.0,15 - 30 Min,747.0,98,Karachi
593,Dr. Noorjahan Shaikh,Gynecologist,MBBS,45.0,5000.0,Under 15 Min,129.0,99,Karachi
594,Dr. Abeda Ariff,Gynecologist,MBBS,11.0,800.0,Under 15 Min,177.0,100,Karachi
595,Prof. Dr. Anjum Rehman,Gynecologist,MBBS,18.0,2500.0,Under 15 Min,268.0,95,Karachi
596,Dr. Atrooba Ismail,Gynecologist,MBBS,5.0,1000.0,15 - 30 Min,17.0,100,Karachi
597,Dr. S. Kosar,Gynecologist,MBBS,14.0,1200.0,Under 15 Min,193.0,97,Karachi
598,Prof. Dr. Nusrat Shah Kamal,Gynecologist,MBBS,20.0,2000.0,Under 15 Min,179.0,99,Karachi
599,Dr. Amna Tariq,Gynecologist,MBBS,6.0,1000.0,Under 15 Min,326.0,99,Karachi
600,Dr. Fouzia Rasool Memon,Gynecologist,MBBS,16.0,3000.0,15 - 30 Min,218.0,100,Karachi
601,Dr. Humaira Tahseen,Gynecologist,MBBS,10.0,1000.0,Under 15 Min,206.0,100,Karachi
602,Dr. Nilofur Alvi,Gynecologist,MBBS,20.0,1500.0,Under 15 Min,182.0,98,Karachi
603,Dr. Nadia Rahman,Gynecologist,MBBS,9.0,1500.0,Under 15 Min,10.0,90,Karachi
604,Dr. Uzma Taqi,Gynecologist,MBBS,22.0,1000.0,Under 15 Min,14.0,92,Karachi
605,Dr. Fozia Akmal,Gynecologist,MBBS,25.0,1000.0,15 - 30 Min,456.0,98,Karachi
606,Dr. Bhawna,Gynecologist,MBBS,12.0,700.0,15 - 30 Min,223.0,100,Karachi
607,Dr. Razia Saeed,Gynecologist,MBBS,22.0,2000.0,Under 15 Min,6.0,100,Karachi
608,Dr. Gulnar Begam,Gynecologist,MBBS,42.0,1100.0,Under 15 Min,38.0,98,Karachi
609,Dr. Rafia Quraishi,Gynecologist,MBBS,35.0,1000.0,Under 15 Min,32.0,95,Karachi
610,Prof. Dr. Rumina Tabassum,Gynecologist,MBBS,36.0,1500.0,Under 15 Min,98.0,99,Karachi
611,Dr. Qurat Ul Ain,Gynecologist,MBBS,15.0,1000.0,Under 15 Min,74.0,100,Karachi
612,Dr. Riffat Sultana,Gynecologist,MBBS,14.0,1000.0,15 - 30 Min,217.0,99,Karachi
613,Dr. Mahwish Iqbal,Gynecologist,MBBS,21.0,1000.0,15 - 30 Min,9.0,100,Karachi
614,Dr. Mehwish Shah,Gynecologist,MBBS,13.0,1500.0,15 - 30 Min,13.0,100,Karachi
615,Dr. Fakhra A. Sanjrani,Gynecologist,M.D,15.0,2500.0,Under 15 Min,198.0,98,Karachi
616,Dr. Saima Laghari,Gynecologist,MBBS,12.0,800.0,Under 15 Min,218.0,99,Karachi
617,Dr.  Gianshari Prem,Gynecologist,MBBS,8.0,200.0,15 - 30 Min,11.0,100,Karachi
618,Dr. Mehreen Yousaf Rana,Gynecologist,MBBS,11.0,1350.0,15 - 30 Min,115.0,99,Karachi
619,Dr. Shaista Aziz,Gynecologist,MBBS,28.0,1400.0,Under 15 Min,4.0,100,Karachi
620,Dr. Summiya Manzoor,Gynecologist,F.C.P.S.,16.0,1000.0,Under 15 Min,211.0,99,Karachi
621,Dr. Rabia Yasir,Gynecologist,MBBS,19.0,1000.0,Under 15 Min,19.0,100,Karachi
622,Dr. Aisha Abdul Razzaque,Gynecologist,MBBS,22.0,1500.0,Under 15 Min,59.0,100,Karachi
623,Dr. Farah Naz,Gynecologist,MBBS,15.0,2000.0,Under 15 Min,171.0,98,Karachi
624,Dr. Quraisha Rashid,Gynecologist,MBBS,30.0,800.0,Under 15 Min,16.0,100,Karachi
625,Dr. Shaista Asad Khan,Gynecologist,MBBS,30.0,700.0,Under 15 Min,132.0,100,Karachi
626,Dr. Erum ilyas,Gynecologist,MBBS,25.0,500.0,15 - 30 Min,15.0,100,Karachi
627,Prof. Dr. Zeryab Setna,Gynecologist,MBBS,10.0,4000.0,15 - 30 Min,388.0,98,Karachi
628,Dr. Namia Nazir,Gynecologist,MBBS,10.0,1000.0,15 - 30 Min,596.0,98,Karachi
629,Dr. Asma Iqbal,Gynecologist,MBBS,17.0,2000.0,Under 15 Min,74.0,99,Karachi
630,Dr. Saliha Kanwal Ali,Gynecologist,MBBS,14.0,900.0,15 - 30 Min,2.0,100,Karachi
631,Dr. Sughra Abbasi,Gynecologist,MBBS,18.0,1500.0,Under 15 Min,87.0,99,Karachi
632,Dr. Razia Baloch,Gynecologist,MBBS,35.0,1000.0,Under 15 Min,49.0,94,Karachi
633,Dr. Shafaq Ismail,Gynecologist,MBBS,9.0,2000.0,Under 15 Min,15.0,92,Karachi
634,Dr. Shahid Qureshi,Urologist,MBBS,12.0,2000.0,Under 15 Min,2585.0,99,Lahore
635,Dr. Abdul Rauf,Urologist,MBBS,14.0,2000.0,Under 15 Min,588.0,99,Lahore
636,Dr. Junaid Ishfaq Khawaja,Urologist,MBBS,8.0,1500.0,Under 15 Min,362.0,100,Lahore
637,Prof. Dr. Irfan Nazir,Urologist,MBBS,21.0,2500.0,15 - 30 Min,3761.0,97,Lahore
638,Dr. Shaheen Khan Bahadar Awan,Urologist,MBBS,12.0,2000.0,15 - 30 Min,691.0,99,Lahore
639,Dr. Zeeshan Ahmad Wains,Urologist,MBBS,12.0,2000.0,Under 15 Min,147.0,99,Lahore
640,Prof. Dr. Fawad Nasrullah,Urologist,MBBS,28.0,4000.0,15 - 30 Min,2077.0,98,Lahore
641,Dr. Muhammad Raheem Sajjad,Urologist,MBBS,11.0,3500.0,Under 15 Min,589.0,100,Lahore
642,Dr. Khalil Ahmad,Urologist,MBBS,14.0,1500.0,15 - 30 Min,7.0,100,Lahore
643,Dr. Ali Shandar Durrani,Urologist,MBBS,11.0,3000.0,Under 15 Min,951.0,98,Lahore
644,Dr. Sajid Iqbal,Urologist,MBBS,10.0,2000.0,15 - 30 Min,118.0,100,Lahore
645,Prof. Dr. Naveed Iqbal,Urologist,MBBS,26.0,3000.0,Under 15 Min,631.0,97,Lahore
646,Dr. Muhammad Sohail,Urologist,MBBS,12.0,3000.0,Under 15 Min,260.0,98,Lahore
647,Dr. Shamim Hashim,Urologist,MBBS,37.0,3000.0,Under 15 Min,740.0,99,Lahore
648,Dr. Muhammad Ejaz Siddiqui,Urologist,MBBS,15.0,3000.0,Under 15 Min,297.0,99,Lahore
649,Dr. Muhammad Ammar,Urologist,MBBS,9.0,2000.0,Under 15 Min,811.0,98,Lahore
650,Dr. Azme Hussain Shah,Urologist,MBBS,32.0,1000.0,Under 15 Min,10.0,100,Lahore
651,Assist. Prof. Dr. Rana Muhammad Iqbal,Urologist,MBBS,20.0,4000.0,Under 15 Min,119.0,100,Lahore
652,Dr. Safdar Ali Shah,Urologist,MBBS,20.0,4000.0,15 - 30 Min,577.0,98,Lahore
653,Dr. Abdul Rauf,Urologist,MBBS,14.0,2000.0,Under 15 Min,588.0,99,Lahore
654,Dr. Junaid Ishfaq Khawaja,Urologist,MBBS,8.0,1500.0,Under 15 Min,362.0,100,Lahore
655,Dr. Qamar Zaman,Urologist,MBBS,6.0,2500.0,Under 15 Min,7.0,100,Lahore
656,Dr. Muhammad Fayyaz,Urologist,MBBS,5.0,2500.0,Under 15 Min,16.0,100,Lahore
657,Dr. Safdar Ali Shah,Urologist,MBBS,20.0,4000.0,15 - 30 Min,577.0,98,Lahore
658,Brig.(R) Dr. Muhammad Ramzan Ch,Urologist,MBBS,42.0,4000.0,Under 15 Min,1414.0,98,Lahore
659,Dr. Irfan Sharif,Urologist,F.C.P.S. (Urology),7.0,1000.0,Under 15 Min,35.0,94,Lahore
660,Dr. Muhammad Ejaz Siddiqui,Urologist,MBBS,15.0,3000.0,Under 15 Min,297.0,99,Lahore
661,Dr. Abid Abbas,Urologist,MBBS,10.0,2000.0,15 - 30 Min,38.0,95,Lahore
662,Dr. Kamran Zaidi,Urologist,MBBS,17.0,3000.0,Under 15 Min,1464.0,99,Lahore
663,Assist. Prof. Dr. Rana Muhammad Iqbal,Urologist,MBBS,20.0,4000.0,Under 15 Min,119.0,100,Lahore
664,Dr. Sajid Iqbal,Urologist,MBBS,10.0,2000.0,15 - 30 Min,118.0,100,Lahore
665,Dr. Irfan Ahmed,Urologist,MBBS,33.0,3000.0,Under 15 Min,653.0,98,Lahore
666,Prof. Dr. Naveed Iqbal,Urologist,MBBS,26.0,3000.0,Under 15 Min,631.0,97,Lahore
667,Dr. Muhammad Sohail,Urologist,MBBS,12.0,3000.0,Under 15 Min,260.0,98,Lahore
668,Dr. Obaid Ur Rehman,Urologist,MBBS ( K.E.M.U),8.0,2500.0,15 - 30 Min,28.0,100,Lahore
669,Assoc. Prof. Dr. Muhammad Farooq,Urologist,MBBS,40.0,1800.0,Under 15 Min,1600.0,98,Lahore
670,Dr. Faisal Tasleem,Urologist,MBBS,20.0,2500.0,Under 15 Min,68.0,97,Lahore
671,Dr. Ghulam Ghous,Urologist,MBBS,11.0,2500.0,Under 15 Min,239.0,97,Lahore
672,Dr. Shamim Hashim,Urologist,MBBS,37.0,3000.0,Under 15 Min,740.0,99,Lahore
673,Dr. Fawad Humayun Akhtar,Urologist,MBBS,10.0,1000.0,Under 15 Min,419.0,98,Lahore
674,Assist. Prof. Dr. Athar Mahmood,Urologist,MBBS,15.0,2500.0,Under 15 Min,254.0,98,Lahore
675,Dr. Faisal Ahmed Zaeem,Urologist,MBBS,19.0,3000.0,15 - 30 Min,469.0,98,Lahore
676,Dr. Muhammad Zahid Ahmad,Urologist,MBBS,16.0,1500.0,Under 15 Min,325.0,96,Lahore
677,Dr. Zubair Ahmad Cheema,Urologist,MBBS,18.0,3000.0,15 - 30 Min,9.0,100,Lahore
678,Dr. Azme Hussain Shah,Urologist,MBBS,32.0,1000.0,Under 15 Min,10.0,100,Lahore
679,Dr. Muhammad Zaheer,Urologist,MBBS,4.0,3000.0,15 - 30 Min,370.0,99,Lahore
680,Dr. Salahuddin,Urologist,MBBS,11.0,1000.0,Under 15 Min,291.0,100,Lahore
681,Prof. Dr. Khizar Hayat Gondal,Urologist,MBBS,30.0,3000.0,Under 15 Min,757.0,98,Lahore
682,Assoc. Prof. Dr. Muhammad Haroon Ghous,Urologist,M.B.,25.0,3000.0,Under 15 Min,50.0,95,Lahore
683,Dr. Muhammad Ammar,Urologist,MBBS,9.0,2000.0,Under 15 Min,811.0,98,Lahore
684,Dr. Tanweer Ahmed Naveed Bhatti,Urologist,MBBS,30.0,5000.0,Under 15 Min,19.0,94,Lahore
685,Assist. Prof. Dr. Naseem Javed,Urologist,MBBS,15.0,4000.0,15 - 30 Min,671.0,99,Lahore
686,Dr. Asif Shahzad,Urologist,MBBS,17.0,1000.0,Under 15 Min,169.0,96,Lahore
687,Dr. Maisam Ali Shahid,Urologist,MBBS,9.0,1500.0,Under 15 Min,417.0,98,Lahore
688,Dr. Munir Amin Mughal,Urologist,MBBS,34.0,1000.0,Under 15 Min,181.0,99,Lahore
689,Dr. Muhammad Ahad Pervaiz,Urologist,MBBS,9.0,1000.0,Under 15 Min,212.0,98,Lahore
690,Dr. Farooq Hameed,Urologist,MBBS,42.0,4000.0,15 - 30 Min,252.0,98,Lahore
691,Dr. Farooq Malik,Urologist,M.S (Urology),15.0,3000.0,Under 15 Min,917.0,98,Lahore
692,Dr. Tariq Mahmood,Urologist,MBBS,13.0,2000.0,15 - 30 Min,208.0,98,Lahore
693,Dr. Nauman Ahmed,Urologist,MBBS,18.0,1000.0,Under 15 Min,137.0,96,Lahore
694,Dr. Zia Ul Haque,Urologist,MBBS,8.0,1000.0,Under 15 Min,12.0,100,Lahore
695,Dr. Rizwan Hussain,Urologist,MBBS,8.0,1000.0,15 - 30 Min,10.0,100,Lahore
696,Dr. Hafiz M. Asad Ur Rehman,Urologist,MBBS,9.0,1000.0,Under 15 Min,70.0,92,Lahore
697,Prof. Dr. Junaid Habib Khan,Urologist,MBBS,38.0,1000.0,Under 15 Min,665.0,98,Lahore
698,Dr. Majed Saeed,Urologist,MBBS,7.0,1000.0,Under 15 Min,67.0,96,Lahore
699,Dr. Sabeeh Ubaid Ullah,Urologist,MBBS,7.0,1000.0,Under 15 Min,160.0,97,Lahore
700,Dr. Saleem Shahzad Malik,Urologist,MBBS,10.0,1000.0,Under 15 Min,30.0,100,Lahore
701,Assoc. Prof. Dr. M. Asif Baloch,Urologist,MBBS,10.0,1000.0,Under 15 Min,273.0,96,Lahore
702,Assist. Prof. Dr. Ijaz Ahmad Kharal,Urologist,MBBS,36.0,1000.0,Under 15 Min,26.0,93,Lahore
703,Dr. Asad Ali Shah,Urologist,MBBS,36.0,1000.0,15 - 30 Min,596.0,93,Lahore
704,Dr. Jamil Rahim,Urologist,MBBS,15.0,1000.0,Under 15 Min,41.0,100,Lahore
705,Dr. Tahir Mehmood Awan,Urologist,M.D.,5.0,1000.0,Under 15 Min,12.0,100,Lahore
706,Assist. Prof. Dr. Amjad Ali Siddiqui,Urologist,MBBS,18.0,1000.0,Under 15 Min,253.0,98,Lahore
707,Prof. Dr. Manzoor Ahmad Malik,Urologist,MBBS,36.0,1000.0,Under 15 Min,18.0,100,Lahore
708,Dr. Ammar Yousuf,Urologist,MBBS,5.0,1000.0,Under 15 Min,4.0,100,Lahore
709,Dr. Muhammad Muzammil Tahir,Urologist,MBBS,32.0,1000.0,Under 15 Min,156.0,96,Lahore
710,Dr. Nadir Hussain,Urologist,MBBS,19.0,1000.0,Under 15 Min,100.0,99,Lahore
711,Dr. Ammad Ahmad Siddiqui,Urologist,MBBS,11.0,1000.0,Under 15 Min,7.0,100,Lahore
712,Dr. Muhammad Moin Arshad,Urologist,MBBS,8.0,1000.0,15 - 30 Min,2.0,100,Lahore
713,Associate. Prof. Dr. Hassan Raza Asghar,Urologist,MBBS,15.0,1000.0,Under 15 Min,72.0,97,Lahore
714,Prof. Dr. Muhammad Khalid Butt,Urologist,MBBS,15.0,1000.0,15 - 30 Min,596.0,97,Lahore
715,Prof. Dr. Muhammad Shahzad Anwar,Urologist,MBBS,15.0,1000.0,15 - 30 Min,9.0,88,Lahore
716,Dr. Muhammad Shan,Urologist,MBBS,6.0,1000.0,15 - 30 Min,5.0,100,Lahore
717,Dr. Faisal Masoud,Urologist,MBBS,5.0,1000.0,Under 15 Min,21.0,93,Lahore
718,Dr. Elahi Bakhsh,Urologist,MBBS,9.0,1000.0,Under 15 Min,3.0,100,Lahore
719,Dr. Athar Hameed,Urologist,MBBS,10.0,1000.0,Under 15 Min,16.0,100,Lahore
720,Dr. Safdar Khan,Urologist,MBBS,29.0,1000.0,15 - 30 Min,30.0,100,Lahore
721,Prof. Dr. Zahid Hussain,Urologist,MBBS,28.0,1000.0,Under 15 Min,87.0,91,Lahore
722,Dr. Humayoun Saeed,Urologist,MBBS,28.0,1000.0,15 - 30 Min,4.0,91,Lahore
723,Prof. Dr. Abdul Mannan,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
724,Prof. Dr. Zia Ul Miraj Ahmad,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
725,Prof. Dr. Khaleeq ur Rehman,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
726,Dr. Ahmed Salman Waris,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
727,Dr. Mohammad Nawaz Chughtai,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
728,Dr. Shoukat Zubair,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
729,Dr. Muhammad Kaleem,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
730,Dr. Khalid Javed Rabbani,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
731,Dr. Tahir Iqbal,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
732,Dr. Abdul Rab,Urologist,Sernior Medical Officer (SMO) (Urology),28.0,1000.0,15 - 30 Min,596.0,91,Lahore
733,Prof Dr. Zafar Ul Ahsan,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
734,Dr. Muhammad Younis,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
735,Dr. Muhammad Rafiq Zaki,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
736,Dr. Muhammed Naeem,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
737,Dr. Qazi Javeed Iqbal,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
738,Dr. Mujahid Hussain,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
739,Dr. Asif Shahzad,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
740,Dr. Muhammad Osman Khan,Urologist,MBBS,28.0,1000.0,15 - 30 Min,596.0,91,Lahore
741,Dr. Asif Alam Khan,Urologist,MBBS,12.0,3000.0,15 - 30 Min,30.0,100,Islamabad
742,Assist. Prof. Dr. Muhammad Ghafoor Khan,Urologist,MBBS ( KMU),35.0,3000.0,Under 15 Min,428.0,98,Islamabad
743,Dr. Hasham Khan,Urologist,MBBS,10.0,3000.0,Under 15 Min,49.0,100,Islamabad
744,Dr. Fazal Abbas,Urologist,MBBS,12.0,2000.0,Under 15 Min,1151.0,99,Islamabad
745,Dr. Ubaid Ur Rahman,Urologist,MBBS,8.0,1000.0,Under 15 Min,267.0,100,Islamabad
746,Dr. Saadat Hassan Shah Hashmi,Urologist,MBBS,17.0,3000.0,Under 15 Min,71.0,99,Islamabad
747,Dr. Umar Muhammad Hussain,Urologist,MBBS,8.0,1000.0,15 - 30 Min,9.0,100,Islamabad
748,Prof. Dr. Salman Ahmed Tipu,Urologist,MBBS,28.0,2000.0,Under 15 Min,627.0,96,Islamabad
749,Prof. Dr. Musharaf Ali Khan,Urologist,MBBS,27.0,3000.0,Under 15 Min,453.0,98,Islamabad
750,Dr. Mohsin Naveed,Urologist,MBBS,13.0,2500.0,Under 15 Min,346.0,99,Islamabad
751,Dr. Arzu Yousuf,Urologist,MBBS,9.0,3000.0,Under 15 Min,18.0,100,Islamabad
752,Dr. Aftab Ali Malik,Urologist,MBBS,35.0,1500.0,Under 15 Min,1554.0,97,Islamabad
753,Dr. Umer Javed Chughtai,Urologist,MBBS,10.0,2000.0,Under 15 Min,617.0,99,Islamabad
754,Dr. Raza Ul Hassan,Urologist,MBBS,8.0,2500.0,Under 15 Min,67.0,98,Islamabad
755,Dr. Muhammad Akram Kumbhar,Urologist,MBBS,15.0,2000.0,Under 15 Min,1023.0,97,Islamabad
756,Dr. Ehsan Ul Haque,Urologist,MBBS,15.0,2500.0,Under 15 Min,42.0,96,Islamabad
757,Dr. Gul Nawaz,Urologist,MBBS,12.0,2500.0,Under 15 Min,46.0,100,Islamabad
758,Dr. Ghulam Mustafa,Urologist,MBBS,15.0,1000.0,Under 15 Min,108.0,100,Islamabad
759,Dr. Nabeel Akhtar Bhatti,Urologist,MBBS,11.0,1000.0,Under 15 Min,68.0,100,Islamabad
760,Dr. Yasir Ikram,Urologist,MBBS,15.0,1000.0,Under 15 Min,30.0,100,Islamabad
761,Dr. Naeem Ullah,Urologist,MBBS,15.0,2500.0,Under 15 Min,553.0,99,Islamabad
762,Dr. Rameez Ahmed,Urologist,MBBS,8.0,2000.0,Under 15 Min,25.0,100,Islamabad
763,Dr. Ahmad Sajjad,Urologist,MBBS,32.0,2500.0,Under 15 Min,547.0,99,Islamabad
764,Prof. Dr. Abdul Khaliq,Urologist,MBBS,32.0,1000.0,15 - 30 Min,596.0,99,Islamabad
765,Prof. Dr. Mohammad Shahbaz Hanif Mehr,Urologist,MBBS,21.0,1000.0,15 - 30 Min,54.0,98,Islamabad
766,Dr. Amer Abbas,Urologist,MBBS,21.0,1000.0,15 - 30 Min,596.0,98,Islamabad
767,Dr. Mashood Zia,Urologist,MBBS,10.0,1000.0,Under 15 Min,140.0,99,Islamabad
768,Dr. Rehmat Ullah,Urologist,M.D.,20.0,1000.0,Under 15 Min,9.0,100,Islamabad
769,Dr. Zein El Amir,Urologist,MBBS,23.0,1000.0,15 - 30 Min,53.0,100,Islamabad
770,Dr. Ruqaiya Tahir,Urologist,MBBS,7.0,1000.0,Under 15 Min,99.0,98,Islamabad
771,Dr. Fayyaz Ali Bangash,Urologist,MBBS,15.0,1000.0,Under 15 Min,180.0,98,Islamabad
772,Dr. Jawad Ahmad,Urologist,MBBS,15.0,1000.0,15 - 30 Min,596.0,98,Islamabad
773,Dr. Khalid Saeed,Urologist,MBBBS,20.0,1000.0,Under 15 Min,12.0,88,Islamabad
774,Prof. Dr. Sajid Mumtaz Qazi,Urologist,MBBS,30.0,1000.0,Under 15 Min,18.0,95,Islamabad
775,Dr. Sharjeel Khan,Urologist,MBBS,4.0,1000.0,Under 15 Min,22.0,93,Islamabad
776,Dr. Faisal Rauf,Urologist,MBBS,13.0,1000.0,Under 15 Min,358.0,98,Islamabad
777,Dr. Sadat Hashmi,Urologist,MBBS,13.0,1000.0,15 - 30 Min,596.0,98,Islamabad
778,Dr. Ishtiaq Ahmed,Urologist,MBBS,6.0,1000.0,Under 15 Min,87.0,97,Islamabad
779,Dr. Mian Khalid Akbar,Urologist,MBBS,20.0,1000.0,Under 15 Min,5.0,100,Islamabad
780,Dr. Zeeshan Qadeer,Urologist,MBBS (Urology),20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
781,Dr. Asher Masood,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
782,Dr. Mohammad Ayaz Khan,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
783,Dr. Muhammad Athar Khawaja,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
784,Dr. Saeed Akhter,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
785,Dr. Kashif Sardar Bangash,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
786,Dr. Muhammed Naeem,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
787,BRIG. DR. Waqar Azim Niaz,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
788,Dr. Zulfiqar Butt,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
789,Dr. Durre Shohab,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
790,Dr. M. Asim Khan,Urologist,MD,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
791,Dr. M. Imran Jamil,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
792,Dr. Qalandar Jan,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
793,Dr. Naeem ullah,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
794,Dr. Inam Malkani,Urologist,MBBS,20.0,1000.0,15 - 30 Min,596.0,100,Islamabad
795,Dr. Faisal Liaquat,Urologist,MBBS,7.0,2000.0,15 - 30 Min,6.0,100,Karachi
796,Assist. Prof. Dr. Tanveer Ahmed,Urologist,MBBS,16.0,1500.0,Under 15 Min,2814.0,99,Karachi
797,Dr. Abdul Hafeez Qureshi,Urologist,MBBS,10.0,2000.0,15 - 30 Min,34.0,100,Karachi
798,Dr. Hira Anis Bumbia,Urologist,MBBS,11.0,3500.0,15 - 30 Min,8.0,100,Karachi
799,Dr. Capt. Moeen Ahmed Qureshi,Urologist,MBBS,33.0,1000.0,Under 15 Min,793.0,98,Karachi
800,Dr. Syed Farhan Ahmed,Urologist,MBBS,13.0,1000.0,15 - 30 Min,21.0,94,Karachi
801,Dr. Feroz Ahmed Mahar,Urologist,MBBS,10.0,1500.0,Under 15 Min,457.0,98,Karachi
